2024-07-09 00:00:15.781171|INFO    |ServerLibPriv |   |TeamSpeak 3 Server 3.13.7 (2022-06-20 12:21:53)
2024-07-09 00:00:15.784171|INFO    |ServerLibPriv |   |SystemInformation: Windows 10 (19045) x64 (AMD or Intel) Binary: 64bit
2024-07-09 00:00:15.784171|INFO    |ServerLibPriv |   |Using hardware aes
2024-07-09 00:00:15.813169|INFO    |DatabaseQuery |   |dbPlugin name:    SQLite3 plugin, Version 3, (c)TeamSpeak Systems GmbH
2024-07-09 00:00:15.813169|INFO    |DatabaseQuery |   |dbPlugin version: 3.11.1
2024-07-09 00:00:15.825169|INFO    |DatabaseQuery |   |checking database integrity (may take a while)
2024-07-09 00:00:16.052172|WARNING |Accounting    |   |Unable to open licensekey.dat, falling back to limited functionality
2024-07-09 00:00:16.077171|INFO    |Accounting    |   |Licensing Information
2024-07-09 00:00:16.077171|INFO    |Accounting    |   |licensed to       : Anonymous
2024-07-09 00:00:16.077171|INFO    |Accounting    |   |type              : No License
2024-07-09 00:00:16.077171|INFO    |Accounting    |   |starting date     : Tue Feb  1 00:00:00 2022
2024-07-09 00:00:16.077171|INFO    |Accounting    |   |ending date       : Thu Jul  1 00:00:00 2027
2024-07-09 00:00:16.077171|INFO    |Accounting    |   |max virtualservers: 1
2024-07-09 00:00:16.077171|INFO    |Accounting    |   |max slots         : 32
2024-07-09 00:00:17.946169|INFO    |              |   |Puzzle precompute time: 1668
2024-07-09 00:00:17.956171|INFO    |FileManager   |   |listening on 0.0.0.0:30033, [::]:30033
2024-07-09 00:00:17.974170|INFO    |Query         |   |Using a query thread pool size of 2
2024-07-09 00:00:18.100174|INFO    |Query         |   |listening for query on 0.0.0.0:10011, [::]:10011
2024-07-09 00:00:18.108171|INFO    |Query         |   |listening for ssh query on 0.0.0.0:10022, [::]:10022
2024-07-09 00:00:18.109171|INFO    |Query         |   |listening for http query on 0.0.0.0:10080, [::]:10080
2024-07-09 00:00:18.116171|INFO    |CIDRManager   |   |updated query_ip_allowlist ips: 127.0.0.1/32, ::1/128, 
2024-07-09 00:10:18.132694|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:10:20.131516|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:10:22.131966|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:20:18.234186|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:20:20.059243|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:30:18.247381|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:30:20.027514|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:30:22.145756|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:40:18.301667|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:40:20.079560|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:40:22.075136|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:50:18.362559|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:50:20.042038|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 00:50:22.037812|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:00:18.430019|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:00:20.111175|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:00:22.110313|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:10:18.522986|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:10:20.091035|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:10:22.120642|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:20:18.688753|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:20:20.134578|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:20:22.031399|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:30:18.694654|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:30:20.034616|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:30:22.136585|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:40:18.688226|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:40:20.146595|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:40:22.036498|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:50:18.708623|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 01:50:20.052588|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:00:18.745462|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:00:22.052028|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:10:18.874797|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:10:20.106587|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:10:22.108609|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:20:18.920983|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:20:20.059837|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:20:22.062047|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:30:19.007258|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:30:20.130416|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:30:22.135583|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:40:18.927760|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:40:20.036637|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:40:22.033870|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:50:19.072615|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:50:21.073015|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 02:50:23.066726|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:00:19.099628|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:00:21.110028|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:00:23.110336|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:10:21.089436|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:10:23.095995|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:20:19.189107|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:20:21.075207|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:20:23.073515|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:30:19.251552|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:30:21.134258|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:30:23.132039|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:40:19.285362|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:40:21.078217|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:40:23.070663|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:50:19.330064|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:50:21.103018|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 03:50:23.106591|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:00:19.377316|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:00:21.053081|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:00:23.043957|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:10:19.505112|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:10:21.048040|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:10:23.045751|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:20:19.512018|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:20:21.088875|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:20:23.083038|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:30:19.606403|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:30:21.056128|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:30:23.058645|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:40:19.690420|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:40:21.026172|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:40:23.115917|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:50:19.699557|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:50:21.038670|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 04:50:23.033994|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:00:19.767820|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:00:21.126000|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:00:23.109136|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:10:19.955217|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:10:21.083611|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:10:23.105051|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:20:20.015454|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:20:21.031870|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:20:23.135919|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:30:20.107170|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:30:22.093399|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:30:24.100697|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:40:20.150303|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:40:22.044420|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:40:24.032378|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:50:20.194225|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:50:22.076304|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 05:50:24.097328|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 06:00:20.184295|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 06:00:22.057277|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
2024-07-09 06:00:24.046177|ERROR   |              |   |TS3ANetwork::Recv failed error: 10054
